"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"01/02/2026","Sell","CLPT","CLEARPOINT NEURO INC","133","$13.8945","$0.02","$1847.95"
"01/02/2026","Sell","MNMD","MIND MEDICINE MINDMED F","204","$13.3249","$0.03","$2718.25"
"12/22/2025","Buy","SMR","NUSCALE PWR CORP CLASS A","266","$16.8708","","-$4487.62"
"12/22/2025","Sell","LMND","LEMONADE INC","25","$83.16","","$2079.00"
"12/22/2025","Sell","IBIT","ISHARES BITCOIN ETF","50","$50.8393","$0.01","$2541.96"
"12/22/2025","Buy","FSM","FORTUNA MNG CORP F","293","$10.2656","","-$3007.82"
"12/22/2025","Sell","JOBY","JOBY AVIATION INC FCLASS A","216","$15.0955","$0.04","$3260.59"
"12/22/2025","Buy","VOXR","VOX RTY CORP CDA F","371","$5.3899","","-$1999.65"
"12/22/2025","Buy","TSAT","TELESAT CORP FCLASS A","99","$30.1309","","-$2982.96"
"12/22/2025","Buy","ASTS","AST SPACEMOBILE INC CLASS A","12","$82.83","","-$993.96"
"12/22/2025","Buy","ASTS","AST SPACEMOBILE INC CLASS A","49","$82.465","","-$4040.79"
"12/22/2025","Sell","PLG","PLATINUM GROUP METALS F","1,335","$2.7636","$0.22","$3689.19"
"12/22/2025","Sell","ETH","GRAYSCALE ETHEREUM MINI","170","$28.6902","$0.03","$4877.30"
"12/22/2025","Buy","CLPT","CLEARPOINT NEURO INC","133","$15.1488","","-$2014.79"
"12/22/2025","Sell","GRAB","GRAB HLDGS LTD FCLASS A","697","$5.205","$0.12","$3627.77"
"12/22/2025","Buy","OSS","ONE STOP SYS INC","269","$7.4158","","-$1994.85"
"12/19/2025","Buy","PLG","PLATINUM GROUP METALS F","1,335","$2.6199","","-$3497.57"
"12/19/2025","Sell","LYFT","LYFT INC CLASS A","179","$18.9101","$0.03","$3384.88"
"12/19/2025","Buy","JOBY","JOBY AVIATION INC FCLASS A","216","$13.8474","","-$2991.04"
"12/19/2025","Buy","USAR","USA RARE EARTH INC CLASS CLASS A","219","$13.63","","-$2984.97"
"12/19/2025","Buy","IE","IVANHOE ELEC INC","199","$15.0661","","-$2998.15"
"12/16/2025","Buy","POET","POET TECHNOLOGIES INC F","499","$5.9705","","-$2979.28"
"12/16/2025","Buy","PATH","UIPATH INC CLASS CLASS A","186","$16.0256","","-$2980.76"
"12/16/2025","Buy","MNMD","MIND MEDICINE MINDMED F","204","$12.1984","","-$2488.47"
"12/03/2025","Sell","COIN","COINBASE GLOBAL INC CLASS A","7","$275.24","","$1926.68"
"12/02/2025","Sell","ASST","STRIVE INC CLASS A","2,197","$1.0839","$0.36","$2380.97"
"12/02/2025","Sell","XPEV","XPENG INC ADR FUNSPONSORED ADR 1 ADR REPS 2 ORD SHS","150","$20.0948","$0.02","$3014.20"
"12/01/2025","Sell","ZETA","ZETA GLOBAL HLDGS CORP CLASS CLASS A","203","$18.205","$0.03","$3695.59"
